tier,key,kind,rank,english,greek,russian,icon_subject,icon_subject_greek,search_suggestion,note,filename
3,P-023,movable,4,Fourth Salutations to the Theotokos,Δ΄ Χαιρετισμοί,Четвёртые Похвалы Пресвятой Богородице,,,Fourth Salutations to the Theotokos,Notable commemoration,Pm023.jpg
3,P-030,movable,4,Third Salutations to the Theotokos,Γ΄ Χαιρετισμοί,Третьи Похвалы Пресвятой Богородице,,,Third Salutations to the Theotokos,Notable commemoration,Pm030.jpg
3,P-035,movable,4,Sunday of St. Gregory Palamas,,Неделя свт. Григория Паламы,,,Sunday of St. Gregory Palamas,Notable commemoration,Pm035.jpg
3,P-037,movable,4,Second Salutations to the Theotokos,Β΄ Χαιρετισμοί,Вторые Похвалы Пресвятой Богородице,,,Second Salutations to the Theotokos,Notable commemoration,Pm037.jpg
3,P-043,movable,4,Saturday of St. Theodore the Recruit,,Суббота вмч. Феодора Тирона,,,Saturday of St. Theodore the Recruit,Notable commemoration,Pm043.jpg
3,P-044,movable,4,First Salutations to the Theotokos,Α΄ Χαιρετισμοί,Первые Похвалы Пресвятой Богородице,,,First Salutations to the Theotokos,Notable commemoration,Pm044.jpg
3,P-049,movable,4,Forgiveness Sunday (Cheesefare),Τυρινή,Прощёное воскресенье,,,Forgiveness Sunday (Cheesefare),Notable commemoration,Pm049.jpg
3,P-050,movable,4,Saturday of the Ascetics,,Суббота сырная,,,Saturday of the Ascetics,Notable commemoration,Pm050.jpg
3,P-056,movable,4,Sunday of the Last Judgement (Meatfare),Ἀπόκρεω,Неделя о Страшном Суде,,,Sunday of the Last Judgement (Meatfare),Notable commemoration,Pm056.jpg
3,P-057,movable,4,Saturday of Souls,Ψυχοσάββατον,Вселенская родительская суббота,,,Saturday of Souls,Notable commemoration,Pm057.jpg
3,P-063,movable,4,Sunday of the Prodigal Son,,Неделя о блудном сыне,,,Sunday of the Prodigal Son,Notable commemoration,Pm063.jpg
3,P-070,movable,4,Sunday of the Publican and the Pharisee,,Неделя о мытаре и фарисее,,,Sunday of the Publican and the Pharisee,Notable commemoration,Pm070.jpg
